parcelid,propertyid,totalacres,totalbuild,totallandv,totalvalue
06079817214070000,1528907,0.19300000000,0,0,0
06079817214110000,1528909,0.19000000000,0,0,0
06079817214010000,1528904,0.18600000000,0,0,0
06079817214150000,1528911,0.19200000000,0,0,0
06079817214030000,1528905,0.19000000000,0,0,0
06079817214130000,1528910,0.19000000000,0,0,0
06079817214050000,1528906,0.19000000000,0,0,0
06079817214090000,1528908,0.18700000000,0,0,0
06079817215010000,1528912,0.19100000000,0,0,0
06079817215170000,1528920,0.18900000000,0,0,0
06079817215090000,1528916,0.19100000000,0,0,0
06079817215110000,1528917,0.18800000000,0,0,0
06079817215070000,1528915,0.18900000000,0,0,0
06079817215130000,1528918,0.18900000000,0,0,0
06079817215050000,1528914,0.18900000000,0,0,0
06079817215150000,1528919,0.18900000000,0,0,0
06079817215030000,1528913,0.18900000000,0,0,0
06079817215190000,1528921,0.18700000000,0,0,0
06079817216130000,1528928,0.18700000000,0,0,0
06079817216010000,1528922,0.26800000000,0,0,0
06079817216030000,1528923,0.18500000000,0,0,0
06079817216050000,1528924,0.18500000000,0,0,0
06079817216070000,1528925,0.18500000000,0,0,0
06079817216090000,1528926,0.18500000000,0,0,0
06079817216110000,1528927,0.18500000000,0,0,0
06079817217090000,1528932,0.28600000000,0,0,0
06079817217010000,1528933,0.19200000000,0,0,0
06079817217030000,1528929,0.21300000000,0,0,0
06079817217050000,1528930,0.21300000000,0,0,0
06079817217070000,1528931,0.21900000000,0,0,0
06100534101010000,595057,1.82000000000,0,95,95
06080014101100000,623542,40.00000000000,0,2312,2312
06080014203010000,623368,30.95900000000,0,1789,1789
06080013201100000,623543,40.00000000000,0,2776,2776
06140331101010000,590937,640.28000000000,0,61664,61664
06140332101010000,590945,160.00000000000,0,9246,9246
06140332201010000,590938,471.00000000000,0,50629,50629
06140335101010000,590940,640.00000000000,0,62589,62589
06140336101010000,590943,640.00000000000,0,60759,60759
06139836101010000,590890,640.00000000000,0,102843,102843
06140132101010000,590909,640.00000000000,0,53394,53394
06140133101010000,590910,640.00000000000,0,85248,85248
06140134101010000,590911,640.00000000000,0,69690,69690
06140131101010000,590908,640.00000000000,0,106581,106581
06140135101010000,590912,640.00000000000,0,44654,44654
06139534101010000,645841,160.00000000000,1672,6038,7710
06139535101010000,645846,320.00000000000,0,10507,10507
06139536101010000,590842,640.00000000000,0,122400,122400
06139631101010000,645855,639.44000000000,0,27784,27784
06139632101010000,645856,640.00000000000,0,53167,53167
06139633101010000,590858,640.00000000000,0,44405,44405
06139634101010000,590859,640.00000000000,0,24643,24643
06139635101010000,590852,640.00000000000,0,47620,47620
06121234201010000,1464370,20.00000000000,0,1156,1156
06090302166255003,1462329,0.10700000000,111874,53126,165000
06140321101010000,590930,638.00000000000,0,73898,73898
06140322101010000,590934,640.00000000000,0,58399,58399
06140319101010000,590926,639.68000000000,0,69123,69123
06140327101010000,590922,320.00000000000,0,34292,34292
06140125101010000,590902,639.68000000000,0,58682,58682
06140330101010000,590929,639.08000000000,0,63962,63962
06140326101010000,590935,640.00000000000,0,59609,59609
06139826101010000,590874,550.00000000000,0,52641,52641
06140325101010000,590916,640.00000000000,0,53781,53781
06090312256150000,1515528,0.23000000000,0,125051,125051
06079714401170000,1515503,0.96700000000,0,121983,121983
06139834301010000,590889,60.00000000000,0,3467,3467
06140315301010000,590933,320.00000000000,0,28667,28667
06140318301010000,590925,320.74000000000,0,42912,42912
06140317301010000,590923,318.00000000000,0,32551,32551
06140313301010000,590921,320.00000000000,0,25283,25283
06140314301010000,590919,160.00000000000,0,57104,57104
06139815301010000,590862,320.00000000000,0,8006,8006
06140113301010000,590891,320.98000000000,0,43347,43347
06139816301010000,590863,320.00000000000,0,19870,19870
06140314401010000,590920,160.00000000000,0,13608,13608
06139813301010000,590860,320.00000000000,0,33754,33754
06140116401010000,590915,320.00000000000,0,53816,53816
06140115301010000,590893,320.00000000000,0,21983,21983
06140117301010000,590894,320.00000000000,0,41046,41046
06140114301010000,590892,320.00000000000,0,25922,25922
06140118301010000,590895,320.00000000000,0,33909,33909
06139513401010000,645847,40.00000000000,0,3110,3110
06139618301020000,645848,39.56000000000,0,2799,2799
06139618401010000,645850,279.59000000000,0,21274,21274
06139617301010000,645849,320.00000000000,0,20166,20166
06139616301010000,590854,320.00000000000,0,4469,4469
06139614301010000,590844,320.00000000000,0,58123,58123
06139613301010000,590843,320.00000000000,0,74212,74212
06139819101010000,590867,644.85400000000,0,49285,49285
06079918120107000,590512,0.50000000000,0,204911,204911
06140320101010000,590927,634.00000000000,0,64656,64656
06139820101010000,590868,640.00000000000,0,26769,26769
06139636101010000,590853,640.00000000000,0,35989,35989
06139822101010000,590870,640.00000000000,0,23547,23547
06139823101010000,590871,640.00000000000,0,60698,60698
06140323101010000,590942,640.00000000000,0,57612,57612
06140324101010000,590917,560.00000000000,0,44455,44455
06139821101010000,590869,640.00000000000,0,12459,12459
06140124101010000,590901,640.72000000000,0,53347,53347
06079714401190000,609952,0.96700000000,0,121983,121983
06079714401180000,1515504,0.96700000000,0,121983,121983
